Course Code,Course Title,Cr_Hrs,Session,Instructor,Day and Time
CS 436 LEC 1,Computer Vision Fundamentals,3.0,16W,Murtaza Taj,MW 04:00PM-05:15PM
CS 452 LEC 1,Computer Graphics,3.0,16W,Murtaza Taj,MW 08:00AM-09:15AM
CS 486 LEC 1,Enterprise Resource Planning (ERP) Systems,3.0,16W,"Basit Shafiq, Shafay Shamail",MW 05:00PM-06:15PM
CS 501 LEC 1,Applied Probability,3.0,16W,Momin Ayub Uppal,MW 02:00PM-03:15PM
CS 510 LEC 1,Design and Analysis of Algorithms,3.0,16W,Imdad ullah khan,MW 08:00AM-09:15AM
CS 535 LEC 1,Machine Learning,3.0,16W,Agha Ali Raza,TR 02:00PM-03:15PM
CS 582 LEC 1,Distributed Systems,3.0,16W,Zafar Ayyub Qazi,MW 01:00PM-02:15PM
CS 589 LEC 1,Recent Developments in Blockchain Technology,3.0,16W,Basit Shafiq,TR 05:00PM-06:15PM
CS 6712 LEC 1,Internet Measurements,3.0,16W,"Zartash Afzal Uzmi, Naveed Ul Hassan, Mobin Javed",TR 11:00AM-12:15PM
CS 682 LEC 1,Topics in Computer and Network Security,3.0,16W,Muhammad Fareed Zaffar,MW 04:00PM-05:15PM
DISC 112 LEC 1,Computer and Problem Solving,4.0,16W,TBA,MW 09:30AM-10:45AM
DISC 112 LAB 1,Computer and Problem Solving,4.0,16W,TBA,F 10:00AM-12:50PM
DISC 203 LEC 1,Probability and Statistics,3.0,16W,Muhammad Asim,MW 08:00AM-09:15AM
DISC 203 LEC 2,Probability and Statistics,3.0,16W,Abid Raza Khan,MW 08:00AM-09:15AM
DISC 203 LEC 3,Probability and Statistics,3.0,16W,Abid Raza Khan,TR 08:00AM-09:15AM
DISC 203 LEC 4,Probability and Statistics,3.0,16W,Abid Raza Khan,MW 03:30PM-04:45PM
DISC 203 LEC 5,Probability and Statistics,3.0,16W,Abid Raza Khan,TR 03:30PM-04:45PM
DISC 212 LEC 1,Introduction to Management Science,3.0,16W,Kamran Rashid,MW 11:00AM-12:15PM
DISC 212 LEC 2,Introduction to Management Science,3.0,16W,Muhammad Adeel Zaffar,TR 08:00AM-09:15AM
DISC 212 LEC 3,Introduction to Management Science,3.0,16W,Muhammad Adeel Zaffar,TR 09:30AM-10:45AM
DISC 212 LEC 4,Introduction to Management Science,3.0,16W,Muhammad Adeel Zaffar,TR 11:00AM-12:15PM
DISC 212 LEC 5,Introduction to Management Science,3.0,16W,Kamran Rashid,MW 12:30PM-01:45PM
DISC 231 LEC 1,Operations Management,3.0,16W,Hassan Rauf Chaudhry,MW 02:00PM-03:15PM
DISC 320 LEC 1,Qualitative and Quantitative Methods in Business,3.0,16W,Fariha Zahid,TR 03:30PM-04:45PM
DISC 320 LEC 2,Qualitative and Quantitative Methods in Business,3.0,16W,Fariha Zahid,TR 05:00PM-06:15PM
DISC 321 LEC 1,Decision Analysis,4.0,16W,Sheikh Attique Ur Rehman,MW 12:30PM-02:20PM
DISC 321 LEC 2,Decision Analysis,4.0,16W,Sheikh Attique Ur Rehman,MW 03:00PM-04:50PM
DISC 322 LEC 1,Optimization Methods in Management Science,3.0,16W,Kamran Rashid,MW 09:30AM-10:45AM
DISC 323 LEC 1,Decision Behaviour,3.0,16W,Sheikh Attique Ur Rehman,TR 02:00PM-03:15PM
DISC 331 LEC 1,Project Management,3.0,16W,Zehra Waheed,TR 11:00AM-12:15PM
DISC 333 LEC 1,Supply Chain and Logistics Management,3.0,16W,Raja Usman Khalid,MW 01:30PM-02:45PM
DISC 335 LEC 1,Transportation and Logistics Management,3.0,16W,Raja Usman Khalid,MW 03:30PM-04:45PM
DISC 420 LEC 1,Business Analytics,3.0,16W,Maheen Aamir Syed,MW 12:30PM-01:45PM
DISC 420 LEC 2,Business Analytics,3.0,16W,Maheen Aamir Syed,MW 02:00PM-03:15PM
DISC 6501 LEC 1,Applied Data Analysis,3.0,MS1,TBA,FSU 03:00PM-05:05PM
DISC 6501 LEC 2,Applied Data Analysis,3.0,MS1,TBA,FSU 08:30AM-10:35AM
DISC 7005 LEC 1,Applied Statistics,3.0,16W,TBA,R 03:00PM-06:00PM
DISC 8301 SEM 1,Seminar in Operations and Supply Chain Strategy,3.0,16W,TBA,M 02:30PM-05:30PM
DISC 8402 SEM 1,Seminar in Supply Chain Analysis,3.0,16W,TBA,T 03:00PM-06:00PM
DISC 8502 LEC 1,Seminar in Technology and Innovation Management,3.0,16W,TBA,M 02:30PM-05:30PM
ECON 100 LEC 1,Principles of Economics,4.0,16W,S.M. Turab Hussain,TR 12:00PM-01:50PM
ECON 100 LEC 2,Principles of Economics,4.0,16W,Nadia Mukhtar Sayed,MW 10:30AM-12:20PM
ECON 111 LEC 1,Principles of Microeconomics,4.0,16W,"Verda Arif, Ali Cheema",TR 05:00PM-06:15PM
ECON 111 RAC 1,Principles of Microeconomics,4.0,16W,Verda Arif,F 04:30PM-05:20PM
ECON 111 RAC 2,Principles of Microeconomics,4.0,16W,Verda Arif,F 02:30PM-03:20PM
ECON 111 RAC 3,Principles of Microeconomics,4.0,16W,Verda Arif,F 03:30PM-04:20PM
ECON 111 LEC 2,Principles of Microeconomics,4.0,16W,Uzma Afzal,MW 03:30PM-04:45PM
ECON 111 RAC 4,Principles of Microeconomics,4.0,16W,TBA,M 10:00AM-10:50AM
ECON 111 RAC 5,Principles of Microeconomics,4.0,16W,TBA,M 02:00PM-02:50PM
ECON 111 RAC 6,Principles of Microeconomics,4.0,16W,TBA,F 11:00AM-11:50AM
ECON 111 LEC 3,Principles of Microeconomics,4.0,16W,Uzma Afzal,MW 01:00PM-02:15PM
ECON 111 RAC 7,Principles of Microeconomics,4.0,16W,TBA,F 10:00AM-10:50AM
ECON 111 RAC 8,Principles of Microeconomics,4.0,16W,TBA,W 03:00PM-03:50PM
ECON 111 RAC 9,Principles of Microeconomics,4.0,16W,TBA,M 12:00PM-12:50PM
ECON 121 LEC 1,Principles of Macroeconomics,4.0,16W,Kashif Zaheer Malik,MW 12:00PM-01:15PM
ECON 121 RAC 1,Principles of Macroeconomics,4.0,16W,Anum Fatima,W 02:00PM-02:50PM
ECON 121 RAC 2,Principles of Macroeconomics,4.0,16W,Anum Fatima,W 03:00PM-03:50PM
ECON 121 RAC 3,Principles of Macroeconomics,4.0,16W,Anum Fatima,W 04:00PM-04:50PM
ECON 121 LEC 2,Principles of Macroeconomics,4.0,16W,Daud Ahmed Dard,TR 12:00PM-01:15PM
ECON 121 RAC 4,Principles of Macroeconomics,4.0,16W,TBA,M 11:00AM-11:50AM
ECON 121 RAC 5,Principles of Macroeconomics,4.0,16W,TBA,F 08:00AM-08:50AM
ECON 121 RAC 6,Principles of Macroeconomics,4.0,16W,TBA,F 02:30PM-03:20PM
ECON 121 LEC 3,Principles of Macroeconomics,4.0,16W,Mohammad Usman Khan,MW 04:00PM-05:15PM
ECON 121 RAC 7,Principles of Macroeconomics,4.0,16W,Anum Fatima,R 02:00PM-02:50PM
ECON 121 RAC 8,Principles of Macroeconomics,4.0,16W,Anum Fatima,R 03:00PM-03:50PM
ECON 121 RAC 9,Principles of Macroeconomics,4.0,16W,Anum Fatima,R 04:00PM-04:50PM
ECON 211 LEC 1,Intermediate Microeconomics,4.0,16W,Syed Muhammad Hasan,MW 08:00AM-09:50AM
ECON 211 LEC 2,Intermediate Microeconomics,4.0,16W,Osama Khan,MW 10:00AM-11:50AM
ECON 212 LEC 1,Intermediate Microeconomics II,4.0,16W,Mushtaq Ahmad Khan,TR 10:00AM-11:50AM
ECON 221 LEC 1,Intermediate Macroeconomics,4.0,16W,Daniyal Khan,MW 12:00PM-01:50PM
ECON 221 LEC 2,Intermediate Macroeconomics,4.0,16W,Usman Elahi,TR 12:00PM-01:50PM
ECON 222 LEC 1,Intermediate Macroeconomics II,4.0,16W,Syed Zahid Ali,TR 09:00AM-10:50AM
ECON 230 LEC 1,Statistics and Data Analysis,4.0,16W,Usman Elahi,TR 03:00PM-04:30PM
ECON 230 LAB 1,Statistics and Data Analysis,4.0,16W,Rimsha Arif,W 03:00PM-03:50PM
ECON 230 LAB 2,Statistics and Data Analysis,4.0,16W,Rimsha Arif,W 01:00PM-01:50PM
ECON 230 LEC 2,Statistics and Data Analysis,4.0,16W,Rabia Khan,TR 12:00PM-01:30PM
ECON 230 LAB 3,Statistics and Data Analysis,4.0,16W,Eeman Shehzad Qureshi,M 12:30PM-01:20PM
ECON 230 LAB 4,Statistics and Data Analysis,4.0,16W,Eeman Shehzad Qureshi,W 12:00PM-12:50PM
ECON 230 LEC 3,Statistics and Data Analysis,4.0,16W,Verda Arif,TR 02:00PM-03:30PM
ECON 230 LAB 5,Statistics and Data Analysis,4.0,16W,Eeman Shehzad Qureshi,M 02:30PM-03:20PM
